;x;y;comment_class;multiplier;
0;37,612416;55,777454;-1;1;
1;37,612416;55,777454;-1;1;
2;37,603298;55,742108;-1;1;
3;37,558526;55,728758;-1;1;
4;37,566431;55,731794;-1;1;
5;37,558526;55,728758;-1;1;
6;37,566431;55,731794;-1;1;
7;37,558957;55,723399;-1;1;
8;37,558957;55,723399;-1;1;
9;37,565767;55,734567;-1;1;
10;37,588853;55,78932;-1;1;
11;37,55964;55,768831;-1;1;
12;37,558616;55,723972;-1;1;
13;37,558023;55,723339;-1;1;
14;37,55752;55,723835;-1;1;
15;37,620177;55,771145;-1;1;
16;37,620177;55,771145;-1;1;
17;37,698142;55,774679;-1;1;
18;37,708015;55,772907;-1;1;
19;37,662461;55,732185;-1;1;
20;37,65973;55,736235;-1;1;
21;37,558957;55,723399;-1;1;
22;37,62819;55,7684;-1;1;
23;37,628424;55,768881;-1;1;
24;37,588916;55,741982;-1;1;
25;37,588916;55,741982;-1;1;
26;37,588916;55,741982;-1;1;
27;37,590183;55,741607;-1;1;
28;37,588916;55,741982;1;1;
29;37,580256;55,738982;-1;1;
30;37,589311;55,734273;-1;1;
31;37,558526;55,728758;-1;1;
32;37,566431;55,731794;-1;1;
33;37,589311;55,734273;-1;1;
34;37,558526;55,728758;-1;1;
35;37,566431;55,731794;-1;1;
36;37,589311;55,734273;-1;1;
37;37,558526;55,728758;-1;1;
38;37,566431;55,731794;-1;1;
39;37,589311;55,734273;-1;1;
40;37,558526;55,728758;-1;1;
41;37,566431;55,731794;-1;1;
42;37,589311;55,734273;-1;1;
43;37,558526;55,728758;-1;1;
44;37,566431;55,731794;-1;1;
45;37,589311;55,734273;1;1;
46;37,558526;55,728758;1;1;
47;37,566431;55,731794;1;1;
48;37,589311;55,734273;-1;1;
49;37,558526;55,728758;-1;1;
50;37,566431;55,731794;-1;1;
51;37,623645;55,722614;-1;1;
52;37,589311;55,734273;-1;1;
53;37,558526;55,728758;-1;1;
54;37,566431;55,731794;-1;1;
55;37,589311;55,734273;-1;1;
56;37,558526;55,728758;-1;1;
57;37,566431;55,731794;-1;1;
58;37,589311;55,734273;-1;1;
59;37,558526;55,728758;-1;1;
60;37,566431;55,731794;-1;1;
61;37,589311;55,734273;1;1;
62;37,558526;55,728758;1;1;
63;37,566431;55,731794;1;1;
64;37,589311;55,734273;1;1;
65;37,558526;55,728758;1;1;
66;37,566431;55,731794;1;1;
67;37,589311;55,734273;1;1;
68;37,558526;55,728758;1;1;
69;37,566431;55,731794;1;1;
70;37,589311;55,734273;-1;1;
71;37,558526;55,728758;-1;1;
72;37,566431;55,731794;-1;1;
73;37,589311;55,734273;1;1;
74;37,558526;55,728758;1;1;
75;37,566431;55,731794;1;1;
76;37,589311;55,734273;-1;1;
77;37,558526;55,728758;-1;1;
78;37,566431;55,731794;-1;1;
79;37,589311;55,734273;-1;1;
80;37,558526;55,728758;-1;1;
81;37,566431;55,731794;-1;1;
82;37,589311;55,734273;-1;1;
83;37,558526;55,728758;-1;1;
84;37,566431;55,731794;-1;1;
85;37,589311;55,734273;-1;1;
86;37,558526;55,728758;-1;1;
87;37,566431;55,731794;-1;1;
88;37,589311;55,734273;1;1;
89;37,558526;55,728758;1;1;
90;37,566431;55,731794;1;1;
91;37,589311;55,734273;-1;1;
92;37,558526;55,728758;-1;1;
93;37,566431;55,731794;-1;1;
94;37,589311;55,734273;-1;1;
95;37,558526;55,728758;-1;1;
96;37,566431;55,731794;-1;1;
97;37,589311;55,734273;-1;1;
98;37,558526;55,728758;-1;1;
99;37,566431;55,731794;-1;1;
100;37,580104;55,740274;-1;1;
101;37,589311;55,734273;-1;1;
102;37,558526;55,728758;-1;1;
103;37,566431;55,731794;-1;1;
104;37,589311;55,734273;-1;1;
105;37,558526;55,728758;-1;1;
106;37,566431;55,731794;-1;1;
