iter	AUC	CrossEntropy	Accuracy
0	0.6708797417	0.6225660149	0.7586923245
1	0.6800446403	0.5784930146	0.7584736497
2	0.6962789108	0.5541380568	0.7584736497
3	0.7042106241	0.537202288	0.7679313361
4	0.7125684873	0.5258290523	0.7588563306
5	0.7124009541	0.5183200115	0.7596216925
6	0.7143823774	0.513556141	0.7698447409
7	0.716309751	0.5096044483	0.7697354035
8	0.717617167	0.506275525	0.7701727531
9	0.7198226449	0.5035541865	0.7742729062
10	0.7208649347	0.501603184	0.7747649246
11	0.7215062152	0.5006599483	0.7745462497
12	0.7219309457	0.4995341709	0.7748195933
13	0.7228843299	0.4987160705	0.7752569429
14	0.7239798783	0.4971915724	0.7766783293
15	0.724757205	0.4958958129	0.7766783293
16	0.7255866809	0.4947462606	0.7759676361
17	0.7263377984	0.4939010146	0.7765689919
18	0.7267687122	0.4933549186	0.7765689919
19	0.7270168632	0.4926824709	0.7764049858
20	0.7274445059	0.4919640498	0.776186311
21	0.7282396725	0.4914113482	0.776732998
22	0.7288468476	0.4908476244	0.7765143232
23	0.7290377757	0.4906900658	0.7766783293
24	0.729284491	0.4904414721	0.7766783293
25	0.729881592	0.4900048117	0.7766783293
26	0.730088704	0.4898852007	0.7770610103
27	0.7302885234	0.4896604182	0.7770063416
28	0.7306691642	0.4892325118	0.7766236606
29	0.7310959259	0.4889821984	0.7764596545
30	0.7316138446	0.4886963156	0.7770610103
31	0.7320398477	0.4884454739	0.7769516729
32	0.7326040097	0.4880749303	0.7768970042
33	0.7330200202	0.4877630564	0.7766783293
34	0.7335592374	0.4874444878	0.7768970042
35	0.7342142384	0.4869551451	0.7772796851
36	0.734593631	0.4865833211	0.7777170348
37	0.734749842	0.4863734699	0.7777717035
38	0.7350027813	0.486136979	0.778045047
39	0.7351983998	0.4859373874	0.7782637218
40	0.7358041963	0.4855627338	0.7783730593
41	0.7363192111	0.4852536603	0.7783730593
42	0.7364692062	0.4851048958	0.7785370654
43	0.7372566642	0.484440554	0.7806144763
44	0.7374461974	0.4842589718	0.7806144763
45	0.7377571346	0.4840637501	0.7808878198
46	0.7379718736	0.4839303011	0.7808878198
47	0.7382440477	0.4837064628	0.7812705008
48	0.7386786648	0.4834320316	0.7808331511
49	0.739082986	0.4831786465	0.780669145
50	0.7392829359	0.4830035711	0.7809424885
51	0.7394346848	0.482896101	0.7811064946
52	0.7397017606	0.4827512451	0.7813251695
53	0.7398444795	0.4826257581	0.7812158321
