iter	Passed	Remaining
0	332	331804
1	416	207596
2	486	161777
3	554	138172
4	648	128955
5	726	120378
6	798	113234
7	890	110402
8	975	107404
9	1040	103036
10	1120	100712
11	1242	102291
12	1350	102543
13	1433	100961
14	1504	98810
15	1593	98016
16	1744	100883
17	1885	102866
18	2049	105796
19	2183	106977
20	2289	106714
21	2372	105456
22	2452	104198
23	2527	102804
24	2601	101468
25	2679	100375
26	2744	98919
27	2810	97575
28	2888	96708
29	2956	95592
30	3031	94748
31	3109	94058
32	3189	93453
33	3269	92890
34	3353	92470
35	3434	91962
36	3498	91047
37	3564	90244
38	3626	89359
39	3694	88661
40	3762	88003
41	3839	87573
42	3901	86841
43	3961	86077
44	4029	85512
45	4090	84838
46	4158	84310
47	4206	83436
48	4287	83220
49	4385	83327
50	4464	83066
51	4549	82942
52	4657	83214
53	4803	84152
54	4917	84485
55	5002	84322
56	5100	84377
57	5188	84266
58	5265	83986
59	5350	83816
60	5428	83563
61	5520	83521
62	5591	83164
63	5666	82876
64	5730	82429
65	5829	82494
66	5942	82744
67	6041	82800
68	6153	83031
69	6272	83336
70	6357	83186
71	6437	82974
72	6511	82688
73	6586	82423
74	6661	82159
75	6722	81732
76	6791	81409
77	6855	81036
78	6923	80719
79	7024	80780
80	7164	81283
81	7256	81233
82	7329	80975
83	7408	80782
84	7472	80440
85	7549	80236
86	7621	79977
87	7689	79688
88	7748	79311
89	7809	78958
90	7874	78663
91	7936	78330
92	8005	78076
93	8071	77799
94	8144	77585
95	8206	77279
96	8274	77032
97	8354	76899
98	8418	76621
99	8479	76313
100	8585	76416
101	8675	76380
102	8772	76395
103	8849	76241
104	8934	76159
105	9021	76083
106	9086	75834
107	9181	75830
108	9287	75921
109	9387	75956
110	9506	76136
111	9600	76121
112	9728	76365
113	9856	76603
114	9986	76850
115	10097	76946
116	10193	76927
117	10272	76784
118	10359	76698
119	10447	76616
120	10522	76437
121	10594	76242
122	10653	75962
123	10715	75697
124	10793	75556
125	10858	75320
126	10914	75027
127	10993	74894
128	11115	75049
129	11259	75354
130	11348	75282
131	11423	75121
132	11502	74979
133	11575	74807
134	11637	74566
135	11697	74314
136	11758	74067
137	11836	73934
138	11891	73661
139	11940	73351
140	11998	73100
141	12059	72866
142	12212	73190
143	12333	73316
144	12399	73113
145	12461	72891
146	12519	72645
147	12573	72384
148	12634	72160
149	12691	71915
150	12744	71653
151	12798	71400
152	12855	71166
153	12934	71057
154	12989	70812
155	13046	70583
156	13107	70380
157	13168	70177
158	13240	70035
159	13296	69807
160	13359	69618
161	13421	69427
162	13485	69246
163	13557	69110
164	13618	68915
165	13677	68714
166	13732	68497
167	13786	68277
168	13847	68088
169	13926	67995
170	13984	67794
171	14045	67615
172	14102	67415
173	14163	67234
174	14220	67037
175	14274	66829
176	14328	66624
177	14388	66446
178	14450	66279
179	14508	66094
180	14563	65896
181	14616	65691
182	14680	65541
183	14745	65395
184	14809	65239
185	14868	65070
186	14932	64919
187	15009	64828
188	15066	64650
189	15116	64444
190	15192	64347
191	15266	64247
192	15347	64174
193	15423	64077
194	15486	63933
195	15555	63808
196	15634	63726
197	15707	63623
198	15770	63477
199	15831	63326
200	15905	63225
201	15997	63196
202	16160	63447
203	16312	63650
204	16406	63625
205	16529	63708
206	16664	63840
207	16779	63891
208	16876	63872
209	16949	63761
210	17039	63717
211	17187	63883
212	17346	64091
213	17431	64024
214	17518	63963
215	17602	63888
216	17685	63815
217	17774	63758
218	17861	63697
219	17940	63606
220	18057	63651
221	18213	63829
222	18309	63796
223	18501	64095
224	18621	64141
225	18760	64249
226	18864	64237
227	18952	64171
228	19049	64137
229	19121	64017
230	19187	63876
231	19264	63772
232	19338	63659
233	19430	63607
234	19506	63500
235	19567	63345
236	19630	63198
237	19699	63072
238	19777	62974
239	19843	62837
240	19909	62703
241	19977	62573
242	20042	62435
243	20110	62310
244	20175	62174
245	20238	62032
246	20296	61876
247	20361	61742
248	20422	61596
249	20515	61547
250	20589	61440
251	20651	61298
252	20700	61120
253	20753	60952
254	20809	60795
255	20860	60626
256	20912	60458
257	20962	60286
258	21009	60108
259	21056	59931
260	21108	59766
261	21180	59660
262	21237	59514
263	21290	59356
264	21354	59227
265	21411	59083
266	21479	58967
267	21619	59050
268	21714	59009
269	21775	58875
270	21883	58867
271	21953	58756
272	22015	58628
273	22080	58506
274	22146	58385
275	22206	58252
